"SystemTime","IpAddress","Neighbor","meanLinkQuality"
1466419194,"10.0.0.3","10.0.0.6",0.6055
1466419194,"10.0.0.3","10.0.0.4",0.555
1466419196,"10.0.0.6","10.0.0.3",0.70425
1466419196,"10.0.0.6","10.0.0.5",0.801
1466419197,"10.0.0.4","10.0.0.3",0.70425
1466419197,"10.0.0.4","10.0.0.5",0.801
1466419222,"10.0.0.4","10.0.0.3",0.65925
1466419222,"10.0.0.4","10.0.0.5",0.841
1466419223,"10.0.0.5","10.0.0.2",0.8035
1466419223,"10.0.0.5","10.0.0.3",0.65925
1466419223,"10.0.0.5","10.0.0.6",0.678
1466419223,"10.0.0.5","10.0.0.4",0.4975
1466419224,"10.0.0.1","10.0.0.2",0.8035
1466419224,"10.0.0.1","10.0.0.3",0.668
1466419225,"10.0.0.3","10.0.0.2",0.831
1466419225,"10.0.0.2","10.0.0.3",0.827
1466419225,"10.0.0.2","10.0.0.1",1
1466419225,"10.0.0.3","10.0.0.5",0.849
1466419225,"10.0.0.3","10.0.0.6",0.831
1466419225,"10.0.0.3","10.0.0.4",0.523
1466419227,"10.0.0.6","10.0.0.3",0.66375
1466419227,"10.0.0.6","10.0.0.5",0.834666666666667
1466419253,"10.0.0.4","10.0.0.3",0.678
1466419253,"10.0.0.6","10.0.0.3",0.673
1466419253,"10.0.0.4","10.0.0.5",0.854333333333333
1466419253,"10.0.0.6","10.0.0.5",0.867666666666667
1466419254,"10.0.0.5","10.0.0.3",0.67225
1466419254,"10.0.0.5","10.0.0.6",0.5035
1466419254,"10.0.0.5","10.0.0.4",0.6915
1466419255,"10.0.0.1","10.0.0.2",1
1466419256,"10.0.0.3","10.0.0.2",1
1466419256,"10.0.0.2","10.0.0.3",0.68
1466419256,"10.0.0.2","10.0.0.1",0.819
1466419256,"10.0.0.2","10.0.0.5",0.835
1466419256,"10.0.0.3","10.0.0.5",0.867666666666667
1466419256,"10.0.0.3","10.0.0.6",0.48
1466419256,"10.0.0.3","10.0.0.4",0.6525
